numberOfRooms,numberOfBedrooms,livingSpace,apartmentFloor,zipCode,price
3,2,64,6,75019,585000
2,1,"31,8",3,75006,500000
4,3,"81,8",1,75014,810000
3,2,85,3,75012,759900
5,3,80,1,75015,700000
2,1,37,2,75012,356000
3,2,68,3,75014,599000
3,2,92,5,75019,699500
4,3,86,3,75012,750000
4,2,93,2,75012,1025000
3,2,52,3,75012,454000
3,2,100,1,75016,1890000
3,2,73,2,75003,940000
2,1,37,5,75009,585000
2,1,18,6,75116,219350
2,1,45,2,75019,392000
3,2,63,4,75020,545000
3,2,64,1,75006,1248000
2,1,36,2,75019,275000
2,1,29,4,75003,435000
2,1,41,4,75011,442000
3,1,66,4,75005,869200
3,2,46,5,75001,650000
2,1,43,4,75018,333000
3,2,53,4,75020,440000
2,1,"46,1",2,75015,460000
2,1,44,2,75015,370000
3,2,65,5,75014,810000
2,1,56,2,75007,849000
2,1,35,5,75011,299500
3,2,48,2,75018,420000
4,2,127,7,75008,2480000
3,1,"45,9",1,75019,399000
3,2,74,2,75016,670000
2,1,42,4,75016,462000
1,1,22,4,75020,225000
4,3,73,3,75018,675000
2,1,40,2,75005,445200
2,1,"34,5",6,75017,299000
2,1,21,6,75015,310000
2,1,51,7,75017,537450
2,1,"20,2",4,75116,250455
4,2,"87,5",2,75015,777000
3,1,56,4,75008,995000
4,2,106,2,75003,2100000
3,2,"66,9",5,75012,278000
5,3,194,4,75008,7995000
4,3,"79,2",4,75020,842000
3,2,72,2,75001,1195000
1,5,671,1,75007,17800000
4,2,95,1,75004,1670000
2,1,44,4,75002,615000
2,1,35,2,75014,419000
5,3,112,16,75015,1090000
2,1,"44,1",3,75004,550000
2,1,52,3,75012,499000
5,2,103,3,75006,2665000
2,1,"47,2",6,75016,465000
3,2,"111,6",2,75003,1790000
2,1,47,5,75015,451500
3,2,"69,1",1,75016,845000
3,2,59,1,75017,599000
2,1,36,3,75007,595000
2,1,43,4,75018,475000
3,2,"79,8",5,75020,749000
2,1,52,1,75018,546000
5,2,"100,6",2,75016,1650000
3,2,36,4,75018,410000
5,3,124,4,75016,1399000
2,1,49,2,75011,630000
2,1,62,9,75012,798000
4,3,102,2,75002,1469000
5,3,197,4,75016,3970000
6,3,290,4,75016,5100000
1,1,36,4,75015,269900
2,1,51,2,75015,572000
2,1,41,2,75015,360000
2,1,37,4,75011,385000
5,3,"101,4",1,75020,870000
4,3,140,1,75012,1250000
3,2,38,5,75006,629800
3,1,56,5,75006,1040000
4,3,70,3,75012,690000
3,2,88,1,75014,885000
3,2,62,3,75016,799000
2,1,35,4,75003,530000
4,2,73,2,75010,700000
2,1,"45,3",2,75011,546000
4,2,157,1,75016,2388000
4,2,"194,6",2,75011,2200000
2,1,42,6,75013,340000
4,2,133,4,75009,1650000
3,1,"71,4",1,75003,934500
2,1,39,4,75006,650000
2,1,46,2,75015,520000
3,2,"59,9",1,75003,790000
2,1,44,1,75006,740000
2,1,50,5,75020,399000
6,4,201,4,75008,2700000
3,2,69,5,75002,1498000
2,1,39,6,75001,600000
2,1,46,2,75001,765000
3,1,56,3,75003,680000
4,3,81,4,75020,842000
4,3,95,7,75018,860000
2,1,34,3,75007,478500
2,1,53,5,75013,520000
2,1,41,5,75012,429000
2,1,48,2,75013,440000
3,2,"50,3",3,75014,597000
3,2,"41,5",4,75005,572000
3,2,"71,2",6,75007,1030000
3,2,50,2,75015,499000
2,1,47,3,75011,599000
4,3,99,4,75020,1420000
5,3,99,2,75020,1440000
4,3,81,2,75011,1190000
4,3,100,3,75020,1439000
4,1,100,3,75012,1469000
4,3,104,4,75015,2250000
2,2,"51,6",1,75015,504000
4,3,"106,5",7,75015,930000
3,2,55,4,75015,600000
3,1,44,4,75016,520000
4,2,117,4,75007,2520000
3,1,47,5,75015,451500
4,2,"95,3",6,75011,980000
3,2,70,8,75015,762000
2,1,34,1,75014,332800
3,1,"68,5",8,75014,624000
5,3,95,2,75004,2630000
6,4,142,2,75008,2150000
2,1,56,14,75013,634000
4,3,85,8,75015,870000
2,1,45,3,75020,437000
5,5,331,5,75016,4760000
2,1,34,2,75008,550000
1,1,7,7,75016,80000
4,2,100,1,75002,1230000
2,1,31,4,75018,325000
4,3,85,4,75018,1095000
5,4,104,5,75018,1226000
2,1,55,3,75013,655000
2,1,50,2,75013,592000
3,2,72,11,75013,883000
7,4,217,3,75016,3995000
2,1,"63,3",1,75016,1050000
4,3,83,4,75018,962000
4,3,90,3,75013,750000
2,1,"31,4",2,75006,620000
3,2,44,5,75018,465000
2,1,"34,9",1,75016,490000
2,1,"62,2",5,75006,890000
2,1,36,5,75010,320000
6,5,135,2,75020,1092000
3,2,44,4,75010,395000
4,2,"140,1",3,75007,2100000
3,2,85,1,75009,948000
